Time on 05 Jun 2021,S4_Humidity,S4_Temperature
17:34:10,38.6,78.3
17:34:16,38.8,78.1
17:34:21,39.3,77.9
17:34:27,39.6,77.7
17:34:33,40.1,77.7
17:34:38,40.8,77.5
17:34:44,40.9,77.4
17:34:49,41.3,77.4
17:34:55,41.4,77.2
17:35:00,41.1,76.8
17:35:08,41.4,76.6
17:35:14,28.3,76.6
17:35:19,41.2,76.5
17:35:25,41,76.5
17:35:30,41.3,76.5
17:35:36,41.4,76.1
17:35:44,41.3,76.3
17:35:49,41.1,76.1
17:35:55,41.3,75.9
17:36:03,41.3,75.9
17:36:09,41.6,75.7
17:36:14,42,75.7
17:36:20,42.1,75.7
17:36:25,42.6,75.6
17:36:31,42.8,75.6
17:36:36,42.7,75.6
17:36:42,43.3,75.4
17:36:47,43.2,75.4
17:36:53,43.6,75.2
17:36:58,43.6,75
17:37:04,44,75
17:37:10,43.2,74.8
17:37:18,43.3,74.8
17:37:23,43.3,74.8
17:37:29,42.9,74.7
17:37:34,43.1,74.7
17:37:40,43.2,74.7
17:37:45,43.4,74.7
17:37:51,43,74.7
17:38:01,43.4,74.5
17:38:07,43.3,74.5
17:38:15,43.6,74.5
17:38:23,43.8,74.5
17:38:31,44,74.5
17:38:37,44.5,74.3
17:38:42,44.3,74.3
17:38:48,44,74.1
17:38:56,43.9,74.1
