0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
18:18:23,49.9,76.1,54.9,73.0,56.4,72.0,57.5,71.8,56.7,72.7,53.5,73.9,52.8,73.9,56.4,72.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:18:39,49.8,76.1,54.8,73.2,56.4,72.1,57.6,71.8,56.6,72.5,53.5,73.9,52.8,73.9,56.4,72.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:18:53,49.8,76.1,54.8,73.2,56.4,72.1,57.6,71.8,56.6,72.5,53.5,73.9,52.8,73.9,56.4,72.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:19:09,49.8,76.1,54.8,73.2,56.4,72.1,57.6,71.8,56.7,72.7,53.5,73.9,52.7,73.9,56.4,72.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:19:18,49.8,76.1,54.8,73.2,56.4,72.1,57.6,71.8,56.7,72.7,53.5,73.9,52.7,73.9,56.4,72.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:19:33,49.9,76.1,54.6,73.2,56.4,72.1,57.5,71.8,56.7,72.7,53.5,73.9,52.7,74.1,56.4,72.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:19:39,49.8,76.1,54.7,73.2,56.3,72.1,57.6,71.8,56.6,72.7,53.5,74.1,52.7,74.1,56.5,72.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:19:53,49.8,76.1,54.7,73.2,56.3,72.1,57.6,71.8,56.6,72.7,53.5,74.1,52.7,74.1,56.5,72.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:20:09,49.7,76.1,54.7,73.4,56.3,72.1,57.6,71.8,56.7,72.9,53.6,73.9,52.7,74.1,56.4,72.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:20:10,49.7,76.1,54.7,73.4,56.3,72.1,57.6,71.8,56.7,72.9,53.6,73.9,52.7,74.1,56.4,72.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
